        TIME,            E,            S,          ES1,          ES2,            P
0.000000E+00, 1.000000E-06, 1.000000E-04, 0.000000E+00, 0.000000E+00, 0.000000E+00
1.000914E+00, 1.203682E-08, 9.253833E-05, 8.983443E-08, 8.981288E-07, 6.473707E-06
2.000914E+00, 1.292883E-08, 8.607557E-05, 8.975332E-08, 8.973178E-07, 1.293736E-05
3.000914E+00, 1.396252E-08, 7.961925E-05, 8.965932E-08, 8.963782E-07, 1.939471E-05
4.000914E+00, 1.517433E-08, 7.317043E-05, 8.954914E-08, 8.952765E-07, 2.584474E-05
5.000914E+00	1.661429E-08	1.000000E-04	8.941820E-08	8.939675E-07	3.228611E-05	
6.003207E+00, 1.191317E-08, 9.351061E-05, 8.984567E-08, 8.982412E-07, 3.877081E-05
7.003207E+00, 1.278642E-08, 8.704696E-05, 8.976627E-08, 8.974473E-07, 4.523532E-05
8.003207E+00, 1.379675E-08, 8.058961E-05, 8.967440E-08, 8.965289E-07, 5.169369E-05
9.003207E+00, 1.497897E-08, 7.413958E-05, 8.956690E-08, 8.954541E-07, 5.814489E-05
1.000321E+01	1.638072E-08	1.000000E-04	8.943944E-08	8.941798E-07	6.458766E-05	
1.100577E+01, 1.191336E-08, 9.350908E-05, 8.984565E-08, 8.982410E-07, 7.107411E-05
1.200577E+01, 1.278664E-08, 8.704544E-05, 8.976625E-08, 8.974471E-07, 7.753863E-05
1.300577E+01, 1.379700E-08, 8.058809E-05, 8.967438E-08, 8.965286E-07, 8.399699E-05
1.400577E+01, 1.497927E-08, 7.413807E-05, 8.956687E-08, 8.954539E-07, 9.044819E-05
1.500577E+01	1.638108E-08	1.000000E-04	8.943941E-08	8.941795E-07	9.689096E-05	
1.600833E+01, 1.191336E-08, 9.350909E-05, 8.984565E-08, 8.982410E-07, 1.033774E-04
1.700833E+01, 1.278664E-08, 8.704544E-05, 8.976625E-08, 8.974471E-07, 1.098419E-04
1.800833E+01, 1.379700E-08, 8.058809E-05, 8.967438E-08, 8.965286E-07, 1.163003E-04
1.900833E+01, 1.497927E-08, 7.413807E-05, 8.956687E-08, 8.954539E-07, 1.227515E-04
2.000833E+01, 1.638108E-08, 6.769670E-05, 8.943941E-08, 8.941795E-07, 1.291943E-04
2.100833E+01, 1.806933E-08, 6.126570E-05, 8.928590E-08, 8.926448E-07, 1.356270E-04
2.200833E+01, 2.014098E-08, 5.484733E-05, 8.909752E-08, 8.907615E-07, 1.420474E-04
2.300833E+01, 2.274189E-08, 4.844471E-05, 8.886102E-08, 8.883971E-07, 1.484526E-04
2.400833E+01, 2.610187E-08, 4.206222E-05, 8.855550E-08, 8.853426E-07, 1.548385E-04
2.500833E+01, 3.060446E-08, 3.570637E-05, 8.814608E-08, 8.812495E-07, 1.611988E-04
2.600833E+01, 3.693912E-08, 2.938737E-05, 8.757007E-08, 8.754908E-07, 1.675242E-04
2.700833E+01, 4.647517E-08, 2.312256E-05, 8.670296E-08, 8.668219E-07, 1.737985E-04
2.800833E+01, 6.234143E-08, 1.694485E-05, 8.526023E-08, 8.523983E-07, 1.799921E-04
2.900833E+01, 9.336642E-08, 1.092820E-05, 8.243909E-08, 8.241945E-07, 1.860397E-04
3.000833E+01, 1.745699E-07, 5.293808E-06, 7.505508E-08, 7.503750E-07, 1.917553E-04
3.100833E+01, 5.054284E-07, 1.053702E-06, 4.496920E-08, 4.496024E-07, 1.963263E-04
3.200833E+01, 9.507380E-07, 5.770015E-08, 4.478947E-09, 4.478310E-08, 1.977676E-04
3.300833E+01, 9.975265E-07, 2.754805E-09, 2.248931E-10, 2.248620E-09, 1.978694E-04
3.400833E+01, 9.998827E-07, 1.314731E-10, 1.066893E-11, 1.066763E-10, 1.978743E-04
3.500833E+01, 9.999953E-07, 7.549269E-12, 4.279806E-13, 4.279031E-12, 1.978746E-04
3.600833E+01, 9.999994E-07, 1.071444E-13, 5.071181E-14, 5.069330E-13, 1.978746E-04
3.700833E+01, 1.000000E-06, 1.232820E-14, 1.099620E-15, 1.099475E-14, 1.978746E-04
3.800833E+01, 1.000000E-06, 5.076106E-16, 4.527657E-17, 4.527060E-16, 1.978746E-04
3.900833E+01, 1.000000E-06, 2.090074E-17, 1.864251E-18, 1.864005E-17, 1.978746E-04
4.000833E+01, 1.000000E-06, 8.605825E-19, 7.676007E-20, 7.674995E-19, 1.978746E-04
4.100833E+01, 1.000000E-06, 3.543426E-20, 3.160577E-21, 3.160160E-20, 1.978746E-04
4.200833E+01, 1.000000E-06, 1.458997E-21, 1.301359E-22, 1.301188E-21, 1.978746E-04
4.300833E+01, 1.000000E-06, 6.007382E-23, 5.358314E-24, 5.357607E-23, 1.978746E-04
4.400833E+01, 1.000000E-06, 2.473524E-24, 2.206272E-25, 2.205981E-24, 1.978746E-04
4.500833E+01, 1.000000E-06, 1.018467E-25, 9.084270E-27, 9.083071E-26, 1.978746E-04
4.600833E+01, 1.000000E-06, 4.193514E-27, 3.740425E-28, 3.739931E-27, 1.978746E-04
4.700833E+01, 1.000000E-06, 1.726669E-28, 1.540110E-29, 1.539907E-28, 1.978746E-04
4.800833E+01, 1.000000E-06, 7.109514E-30, 6.341366E-31, 6.340529E-30, 1.978746E-04
4.900833E+01, 1.000000E-06, 2.927324E-31, 2.611041E-32, 2.610697E-31, 1.978746E-04
5.000833E+01, 1.000000E-06, 1.205318E-32, 1.075090E-33, 1.074948E-32, 1.978746E-04
5.100833E+01, 1.000000E-06, 4.962868E-34, 4.426654E-35, 4.426070E-34, 1.978746E-04
5.200833E+01, 1.000000E-06, 2.043448E-35, 1.822663E-36, 1.822423E-35, 1.978746E-04
5.300833E+01, 1.000000E-06, 8.413846E-37, 7.504771E-38, 7.503780E-37, 1.978746E-04
5.400833E+01, 1.000000E-06, 3.464380E-38, 3.090070E-39, 3.089662E-38, 1.978746E-04
5.500833E+01, 1.000000E-06, 1.426449E-39, 1.272329E-40, 1.272161E-39, 1.978746E-04
5.600833E+01, 1.000000E-06, 5.873369E-41, 5.238780E-42, 5.238089E-41, 1.978746E-04
5.700833E+01, 1.000000E-06, 2.418345E-42, 2.157055E-43, 2.156770E-42, 1.978746E-04
5.800833E+01, 1.000000E-06, 9.957474E-44, 8.881617E-45, 8.880445E-44, 1.978746E-04
5.900833E+01, 1.000000E-06, 4.099964E-45, 3.656983E-46, 3.656501E-45, 1.978746E-04
6.000833E+01, 1.000000E-06, 1.688150E-46, 1.505754E-47, 1.505555E-46, 1.978746E-04
6.100833E+01, 1.000000E-06, 6.950914E-48, 6.199902E-49, 6.199084E-48, 1.978746E-04
6.200833E+01, 1.000000E-06, 2.862021E-49, 2.552794E-50, 2.552457E-49, 1.978746E-04
6.300833E+01, 1.000000E-06, 1.178430E-50, 0.000000E+00, 1.050968E-50, 1.978746E-04
6.400833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
6.500833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
6.600833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
6.700833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
6.800833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
6.900833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.000833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.100833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.200833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.300833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.400833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.500833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.600833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.700833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.800833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
7.900833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.000833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.100833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.200833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.300833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.400833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.500833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.600833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.700833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.800833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
8.900833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.000833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.100833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.200833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.300833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.400833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.500833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.600833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.700833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.800833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
9.900833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.000083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.010083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.020083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.030083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.040083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.050083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.060083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.070083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.080083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.090083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.100083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.110083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.120083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.130083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.140083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.150083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.160083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.170083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.180083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.190083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.200083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.210083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.220083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.230083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.240083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.250083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.260083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.270083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.280083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.290083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.300083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.310083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.320083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.330083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.340083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.350083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.360083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.370083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.380083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.390083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.400083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.410083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.420083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.430083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.440083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.450083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.460083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.470083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.480083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.490083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.500083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
